Id,SalePrice
1461,127702.875
1462,167337.92
1463,186389.14
1464,192640.02
1465,207671.64
1466,174100.4
1467,171863.44
1468,171199.08
1469,188347.5
1470,128381.74
1471,193222.27
1472,94061.93
1473,99983.24
1474,154126.03
1475,138558.58
1476,434139.16
1477,256393.27
1478,307320.72
1479,279882.12
1480,504878.16
1481,295694.94
1482,201358.81
1483,187689.22
1484,173840.86
1485,173061.55
1486,197708.88
1487,347548.3
1488,238697.03
1489,213405.72
1490,212924.58
1491,198561.73
1492,98438.6
1493,187043.73
1494,300261.47
1495,274474
1496,231174.44
1497,190129.66
1498,158359.12
1499,159990.25
1500,158461.84
1501,172674.23
1502,158522.62
1503,302296.8
1504,229904.72
1505,220707.53
1506,185916.19
1507,258110.72
1508,208258.62
1509,166702.66
1510,148352.78
1511,146927.11
1512,168434.08
1513,154104.27
1514,180980.31
1515,193724.77
1516,168640.48
1517,165293.17
1518,130881.96
1519,229249.89
1520,131779.8
1521,141472.38
1522,167234.58
1523,111221.06
1524,132773.77
1525,129519.36
1526,123918.15
1527,103927.914
1528,124702.25
1529,139807.58
1530,178253.98
1531,112631.625
1532,105382.67
1533,147027.47
1534,115162.91
1535,164899.67
1536,115460.88
1537,96944.91
1538,171428.16
1539,234696.5
1540,113945.47
1541,148743.34
1542,139269.62
1543,204487.48
1544,84445.89
1545,104452.445
1546,130507.83
1547,132906.88
1548,131231.98
1549,121071.99
1550,136913.56
1551,110737.18
1552,127531.53
1553,149301.89
1554,119317.6
1555,169338.22
1556,86812.875
1557,115569.02
1558,104766.484
1559,121795.31
1560,143706.05
1561,153151.78
1562,126682.51
1563,121905.51
1564,159282.05
1565,151904.89
1566,248106.03
1567,79624.48
1568,231528.47
1569,135823.98
1570,136829
1571,134445.06
1572,144620.56
1573,254890.98
1574,115253.336
1575,239862.42
1576,252236.55
1577,205228.3
1578,151822.5
1579,148973.7
1580,195578.86
1581,151910.16
1582,126660.75
1583,330510.4
1584,239555.19
1585,138580.88
1586,82096.66
1587,102137.445
1588,159177.53
1589,106588.58
1590,130803.15
1591,97466.64
1592,116901.76
1593,127851.9
1594,132634.48
1595,132244.94
1596,232845.9
1597,173653.67
1598,196861.28
1599,179010.8
1600,194991.22
1601,58983.95
1602,117387.13
1603,105547.63
1604,285287.12
1605,258398.1
1606,170899.56
1607,169129.75
1608,212266.45
1609,199366.77
1610,157829.03
1611,145737.08
1612,162693.78
1613,159648.03
1614,125534.125
1615,87105.94
1616,74467.664
1617,95308.98
1618,119602.91
1619,139447.44
1620,148612.53
1621,142619.4
1622,148460.66
1623,308957.56
1624,224491.78
1625,123600.1
1626,174220.9
1627,186585.25
1628,292556.53
1629,178185.47
1630,355225.72
1631,224101.39
1632,242853.11
1633,161253.47
1634,183434.72
1635,186722.73
1636,158214.72
1637,183078.31
1638,220844.36
1639,183577.44
1640,253916.94
1641,184287.5
1642,230632.33
1643,221472.88
1644,229510.9
1645,189175.97
1646,156208.03
1647,161005.5
1648,136284.88
1649,139013.14
1650,114340.59
1651,115692.86
1652,94510.914
1653,99644.71
1654,158603.28
1655,153434.88
1656,150744.16
1657,156990.64
1658,151812.77
1659,139767.12
1660,159551.12
1661,452949
1662,393309.5
1663,390075.53
1664,471177.03
1665,324883.25
1666,325005.94
1667,403044.44
1668,334261.16
1669,297117.47
1670,359473.5
1671,273865.53
1672,454452.4
1673,301825.3
1674,245422.88
1675,181651.89
1676,187954.56
1677,208365.47
1678,462243.8
1679,384177.97
1680,327558.03
1681,234404.95
1682,304776.16
1683,181821.48
1684,169007.33
1685,171146.9
1686,170002.27
1687,161159
1688,186353.61
1689,193236.03
1690,195847.75
1691,173272.56
1692,277229.03
1693,163197.45
1694,182051.77
1695,168434.05
1696,300878.38
1697,172769.67
1698,363878.5
1699,309620.88
1700,250191.33
1701,269570.16
1702,261789.66
1703,252650.42
1704,300910.28
1705,230387.2
1706,445382.7
1707,197976.48
1708,202763.4
1709,266379.66
1710,216970.11
1711,264571.06
1712,237590.98
1713,261773.6
1714,220399.7
1715,211459.28
1716,181891.42
1717,166550.34
1718,130486.055
1719,208203.48
1720,239756.52
1721,162880.16
1722,112030.58
1723,149927.25
1724,202022.17
1725,241523.67
1726,195545.75
1727,170035.16
1728,182813.4
1729,167270.9
1730,164894.33
1731,124364.336
1732,135884.67
1733,118289.516
1734,123154.83
1735,123002.56
1736,116022.71
1737,336175.66
1738,219969.86
1739,262140.33
1740,216264
1741,188796.97
1742,172612.34
1743,167261.45
1744,308020.78
1745,250465.5
1746,265917.25
1747,230208.47
1748,216560.72
1749,151405.48
1750,137919.94
1751,244867.86
1752,119389.71
1753,142513.64
1754,197981
1755,174576.75
1756,123695.3
1757,121568.51
1758,157002.36
1759,168732.73
1760,160482.73
1761,139301.48
1762,179249.03
1763,179103.5
1764,121727.89
1765,187008.61
1766,177394.19
1767,212519.84
1768,149937.38
1769,162272.19
1770,144523.08
1771,131775.97
1772,141148.02
1773,144233.86
1774,145797.89
1775,137562.9
1776,127655.375
1777,115645.53
1778,135657
1779,114388.76
1780,177129.06
1781,136684.83
1782,89199.48
1783,139378.44
1784,109890.375
1785,120817.695
1786,148319
1787,161587.3
1788,50494.15
1789,112755.63
1790,82287.34
1791,208279.53
1792,156328.14
1793,133534.77
1794,142600.6
1795,135243.06
1796,123727.65
1797,127547.625
1798,123587.65
